圖片名稱,場景名稱,圖片位址,定位資訊
導覽頁,P5534_0802,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8feaabbcbe00448a9c76f90afd8055f7.jpg,
閱樂書店,P5534_0645,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/451e55fe3e384d15806f226bf65bc58e.jpg,
生態景觀池,P5534_0806,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/037f5a9bc73648608139af6b22daaa1f.jpg,
琉璃工坊-1,P5534_0807,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/a2d4de9699d247a7b8dcd14c465b0457.jpg,
琉璃工坊-2,P5534_0804,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/9296cc0a0542437ab5d8b6c1e46a6d11.jpg,
琉璃工坊-3,P5534_0808,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/856fd339adcf4d00ad4cf270ea0c5486.jpg,
廁所-1,P5534_0813,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/fd871d63b2014cf89e284214158eb520.jpg,
廁所-2,P5534_0810,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/ce75c1008b0f4f08a6d4a37cb6ec6b65.jpg,
廁所-3,P5534_0811,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cf56b4f3123f4011b46ab3d053f7ec91.jpg,
廁所-4,P5534_0812,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2586651c814e41b5b1ca930f82edd292.jpg,
10-多功能展覽廳,P5534_0824,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/721dcca10786431b9eb01ff9b32dc656.jpg,
多功能展演廳-門口,P5534_0821,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/e69121eb4411403bad67b7fcbe8816e8.jpg,
多功能展演廳-中,P5534_0822,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/6a84599547054c29b2643f22723a4b94.jpg,
多功能展演廳_側廳-前,P5534_0819,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/39daf99c6ade48f9a64dc504fdaf4370.jpg,
多功能展演廳_側廳-中,P5534_0818,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/009c9252fe324cd9b021c7d9c13b5cb1.jpg,
2F-西向-1,P5534_0826,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/c44a8f6165114210a2d779906b2b2706.jpg,
2F-西北向轉角,P5534_0827,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/5e773344342d4ca79038da47dc512aea.jpg,
2F-北向-1,P5534_0828,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3f88a044762a4f3c8f3f80b09a86391c.jpg,
2F-北向-2,P5534_0829,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d6abd01327624cdbb5e09ee0d68097be.jpg,
2F-北向-3,P5534_0830,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/66001d07d7d945539a4aec523cacdbca.jpg,
2F-北向-4,P5534_0831,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/be07120940124b2eb1538888d8fe3a2b.jpg,
2F-會議室,P5534_0833,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/b801018776a54cbc917c3715ced25f93.jpg,
1F-台灣設計館內-1,P5534_0836,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3eb82ec76b3d442097871d2c9bc385b5.jpg,
1F-台灣設計館內-2,P5534_0837,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/7a2ecf7e54cb4545bf00cc0456845d48.jpg,
台灣設計館內-3,P5534_0838,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/4ccb5cd1082147f6994945b5db04d181.jpg,
台灣設計館內-通道,P5534_0840,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/e8556d7231074eea8d9b4dce66603a4a.jpg,
8巴洛克花園觀景點,P5534_0641,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/24b9606d04c74493af97776adef1152f.jpg,
1F-西向走道-1,P5534_0841,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/01ac56564ab8418fa99dd0557c8a00de.jpg,
1F-西北轉角,P5534_0844,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f05219946907407e8ed501142cf38e89.jpg,
1F-北向通道-1,P5534_0845,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8a4e730237f74ff9bdbad7b2f0da1b9b.jpg,
4-雪茄工廠,P5534_0846,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3e7b898dd0624213a8c1e0dbe3348268.jpg,
1F-西向2-1,P5534_0847,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/5c06bad068fb476d980c59bb4b62dac8.jpg,
9-澡堂,P5534_0848,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/eb428669704e4d348a0fc5f05ad84bcb.jpg,
7-醫護室,P5534_0849,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cfc9d18e18e54b74af294f335c570ab1.jpg,
1F-南向走道-1,P5534_0850,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/274e269a4c2348b99e7d27a502e7f161.jpg,
1F-西南轉角-2,P5534_0851,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/eff364aa700645e79dad16640e60c16a.jpg,
1F-西向走道,P5534_0852,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2ae5da77fff74558b07a9bd2721f41b0.jpg,
巴洛克花園-1-西南角,P5534_0853,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/51ada67a6a364bf0b917bea4367a042d.jpg,
巴洛克花園-2,P5534_0854,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f579e27c829f48e89b85b5b4e542d74e.jpg,
巴洛克花園-3,P5534_0855,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3ea753f99e7545a388d7db8d5b66743d.jpg,
巴洛克花園-4,P5534_0856,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/aef74488be0a4b4592d417cb5fbae295.jpg,
巴洛克花園-5,P5534_0857,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/49a71294995a4b77813b33fe8b4a9d44.jpg,
巴洛克花園-6,P5534_0858,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d18d1fde8c54410397e68221381a3d6f.jpg,
巴洛克花園-7,P5534_0860,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/75c85cd03438419a9a0f19af50815ad4.jpg,
巴洛克花園-8-西北角,P5534_0859,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/1efefd2819e14ef0be13b24358110e6a.jpg,
巴洛克花園-9-東北角,P5534_0861,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/4ee275c5280d4a0a84e53ada4f592c03.jpg,
巴洛克花園-10,P5534_0862,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/fb13297c06f44c94b1b1813cdbfce519.jpg,
2F-南向走道-西南轉角,P5534_0864,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/be11abf8285f43bb9c48695a7b1e18b3.jpg,
2F-南向-電梯間,P5534_0865,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8bc7cbb5b1ae4da1aeaf8932e8d33cab.jpg,
2F-南向通道-1,P5534_0866,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8b23f85e18cd43be9d6811f3b8062ec1.jpg,
2F-南向通道-2,P5534_0867,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/14a4a2cc9c8c46179c16263ff9a35a7c.jpg,
2F-南向通道-辦公區,P5534_0868,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/1fc3ef53a88f40a6bf37fc9a1ad42817.jpg,
5號倉庫-門口,P5534_0889,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/86dbf7fe26aa4392af4cbe9f2a453f17.jpg,
5號倉庫-前,P5534_0886,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/7dcc0e54b5da4e998db8aa58148f0b6c.jpg,
5號倉庫-中,P5534_0887,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cd3a5afa333b402abf8146b6195969b8.jpg,
5號倉庫-後,P5534_0888,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/c33896d84500408ab159d5e5f7764d73.jpg,
4號倉庫-門口,P5534_0880,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/230008f7d96140e9b76e7cda98b36b19.jpg,
4號倉庫-前,P5534_0884,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/73dbc66c82d64fc49689d7cc2e925b95.jpg,
4號倉庫-中,P5534_0882,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/41695451e3484a4d897ec47193168f8b.jpg,
4號倉庫-後,P5534_0883,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/0d92e8aa78724e80b7143e0c18a3240a.jpg,
3號倉庫-門口,P5534_0878,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d6502041c4d64c30a4c4ea68cb5d3abd.jpg,
3號倉庫-前,P5534_0879,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/35e17fbafc2a4011ac2d64ebf78eba9e.jpg,
3號倉庫-中,P5534_0871,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d7b8ff955a854320bd777d4ecaa951b7.jpg,
3號倉庫-後,P5534_0872,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3f3994d0e4854b1f8b0ac845c8321965.jpg,
2號倉庫-門口,P5534_0877,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/7b4da55e6ab1486a89241542bd0d2d3d.jpg,
2號倉庫-前,P5534_0875,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/1042ac6331f64b5196bf1802de47b9d4.jpg,
2號倉庫-中,P5534_0874,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/755e93bb678e4faeb59a3a7c85c55596.jpg,
2號倉庫-後,P5534_0873,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f6851639a7974bf3b31d9557a9c8b5f7.jpg,
2號倉庫-輸送帶,P5534_0876,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/1d2cb0b045684ac494474323b38389a5.jpg,
1號倉庫-門口,P5534_0891,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/bf571ea88bea44638c47babf66553ec9.jpg,
1號倉庫-前,P5534_0892,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/3512e3d271ab48d0a397660d6245ae73.jpg,
1號倉庫-中,P5534_0893,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/e5185c2f8e384969a2a917686998c2f1.jpg,
1號倉庫-後,P5534_0894,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/c25014ace1d347e5b754465ef93f749e.jpg,
17-鍋爐房,P5534_0649,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f80fc48e30db4f3f8a38a66a932bb3ab.jpg,
18-機器修理廠,P5534_0650,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/517d6217fed54a9d8f9803030c339768.jpg,
椰林大道-0,P5534_0651,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/55d0ec39da6f4b7997842f7349bfa436.jpg,
椰林大道-1,P5534_0654,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/7029315437da4d259e1614dc1657f7e4.jpg,
椰林大道-全家便利商店,P5534_0655,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2c59cc8b62ba4b7f9b921083f6cd34d5.jpg,
椰林大道-4,P5534_0656,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/5ff32455bac44517a2c3988367abfe38.jpg,
20-育嬰室,P5534_0657,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/63d6c5e2bf774325803d83ed213651ef.jpg,
3號入口,P5534_0802,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8feaabbcbe00448a9c76f90afd8055f7.jpg,
3號入口-1,P5534_0659,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/87bfe87380e94eb9b3b2c07a703cf7f3.jpg,
3號入口-2,P5534_0658,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/25c8e8b719014643a87a06995cb010d3.jpg,
文創大街-1,P5534_0663,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/1a0776acfa1d4e46beec3c77a371d31f.jpg,
1號倉庫,P5534_0672,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d84a53be751c445bb81cd25ad676f902.jpg,
路口,P5534_0673,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/da26458ccc194378b20f858f4596c6e5.jpg,
通道-辦公廳舍與正門,P5534_0674,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/df703e35f68f4e2b8d847869b92691ac.jpg,
1松山菸廠歷史回顧,P5534_0675,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/d8d672ddb5894b9a92480fcf4649dfc4.jpg,
2製菸工廠,P5534_0676,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/5c1adf8aee404150b4abefd196501986.jpg,
13-辦公廳舍與正門,P5534_0677,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/72b3c1c27d46475dacd04b4faadd300e.jpg,
台灣設計館-0,P5534_0682,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cc84cdb154724656add52702d61277d1.jpg,
台灣設計館-1,P5534_0684,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f0e827c2a9fa4c7287614a6bcf7a2804.jpg,
台灣設計館-門口,P5534_0835,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/6899aef23d0042b596bbaea1321f0f10.jpg,
12-松菸口,P5534_0688,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2c6815b2175e41ce95f3830284f3767a.jpg,
1F-3-理葉工廠,P5534_0692,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2fc9076ad0564eee95926abed5b7f99b.jpg,
1F-樓梯間-松菸風格店家,P5534_0693,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/6dccd2be9be74024a33c25bc0e2d7133.jpg,
1F-東南轉角,P5534_0694,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/54b04ed99e4741f688c8ad70e2781448.jpg,
1F-5-切葉工廠,P5534_0695,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f387ac30f04b45e8aee774a03034b51d.jpg,
1F-南向走道-樓梯間,P5534_0696,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/b726514b0cf346e6a978deb5353001b1.jpg,
1F-藝異空間,P5534_0697,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/ecb86982e99e481f971b9e48715db789.jpg,
文創大街-02,P5534_0923,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/e158b88b409940e7b7b2e4ada68f16e9.jpg,
倉庫區-1,P5534_0925,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/0dcbc72d31394c1e8184b26095ff7a4f.jpg,
倉庫區及香菸輸送通道,P5534_0930,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/52632af987594521bd858d2608036080.jpg,
倉庫區街口,P5534_0931,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/88b813ad01ab43308c4d07c6f0a28d75.jpg,
廁所走廊,P5534_0932,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/4db159902b16413a989fe8fdeb87f257.jpg,
1F-北向-01,P5534_0898,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/b904668c4d4d4953a3958908626381e3.jpg,
1F-北向-02-樓電梯間,P5534_0900,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/b138885eb2a74f4fa477ac6986a56ad1.jpg,
1F-北向-03,P5534_0902,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/921e09dc047548679e2a276c9cd2d5de.jpg,
2F-北向-01,P5534_0919,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2b69a023ee7647babba74aba574bb3eb.jpg,
2F-北向-台灣設計研究院,P5534_0918,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f034e288c68648ce825e896720721646.jpg,
2F-北向,P5534_0917,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/45df7691090d4c7489128f8de31d11bb.jpg,
2F-東北角,P5534_0915,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/f8f907dbe8924ac0adeef89ec8f5ec2c.jpg,
2F-東向-01,P5534_0914,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/00de9436b25949279be439d56cd212c6.jpg,
2F-東向-樓梯間,P5534_0913,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/093cc80c5d704f06a4ed41e4e9162c63.jpg,
2F-東向-02,P5534_0912,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/18f8404082c8421b9a84fdc734df42d6.jpg,
2F-東南角,P5534_0707,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/dcf4b57a5fc6490187fef3a2fef1796f.jpg,
2F-南向-01,P5534_0909,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8f327686e6f54cf69b835244729333c2.jpg,
2F-南向-創作者工廠,P5534_0922,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/7f2c4303b848423c8c3503f6fe6dbf33.jpg,